id,name,category,subcategory,perPersonLow,perPersonHigh,minOrder,dietary,notes,url,contact,recommended,sustainabilityLevel,pennApproved,isSmallBusiness,isPennMarketplace,locationPhiladelphia,locationWestPhilly,cuisines
bon-appetit,Bon Appétit Management Co,On-Campus Catering,catering,22,38,25,vegetarian;vegan;gluten-free;halal;kosher,"Penn's strategic preferred caterer. Level 4 sustainability. Wide range of customized menus. Can be procured via your financial administrator.",https://dining.upenn.edu,pennfoodservices@upenn.edu,true,4,true,false,false,true,true,"Vegan, Gluten Free, Low Carb, Kosher, Halal, Vegetarian, Customized menus"
houston-hall,Houston Hall Event Services,On-Campus Catering,catering,20,35,20,vegetarian;vegan,"On-campus venue + catering combo. Coordinate through Graduate Student Center.",https://gsc.upenn.edu,gradcenter@upenn.edu,true,,false,false,false,true,true,American
12th-street-catering,12th Street Catering,Multi-Cuisine,catering,,,,"vegetarian;vegan;gluten-free;halal;kosher","Full-service catering with extensive multi-cuisine menu. Level 4 sustainability. Philadelphia and West Philly local.",,, false,4,true,false,false,true,true,"Mexican, American, Italian, Greek, Indian, African, Latin, Asian, French, Southern, Comfort, Chinese, German, Fusion, Local, Vegan, Vegetarian, Gluten-Free, Low Carb, Kosher, Halal"
aneu-catering,Aneu Catering and Events,American / Vegetarian,catering,,,,"vegetarian;vegan;gluten-free","Vegetarian-focused catering. Level 2 sustainability.",,, false,2,true,false,false,false,false,"Vegan, Gluten-Free, Low Carb, Vegetarian"
bacchus-market,Bacchus Market and Catering,American / Vegetarian,catering,,,,"vegetarian;vegan;gluten-free;kosher;keto","Small business. Philadelphia local. Level 3 sustainability. Keto and kosher-style options.",,, false,3,true,true,false,true,false,"Vegan, Gluten-Free, Low Carb, Kosher Style, Vegetarian, Keto"
barts-bagels,Bart's Bagels,Bagels / Breakfast,catering,,,,"vegetarian;vegan;gluten-free","Small business. Philadelphia and West Philly local. Level 3 sustainability. Great for breakfast and morning events.",,, false,3,true,true,false,true,true,"American, Comfort, Vegan, Vegetarian, Gluten Free, Breakfast"
cake-life-bake-shop,Cake Life Bake Shop,Bakery / Desserts,catering,,,,"vegetarian;vegan;gluten-free","Philadelphia local bakery. Level 3 sustainability. Baked goods and desserts. Good for receptions and supplemental orders.",,, false,3,true,false,false,true,false,"American, French, Southern, Comfort, Local, Vegan, Vegetarian, Gluten-Free"
catering-by-design,Catering by Design,Multi-Cuisine,catering,,,,"vegetarian;vegan;gluten-free;halal;kosher","Small business. Philadelphia local. Level 3 sustainability. Wide range of global cuisines.",,, false,3,true,true,false,true,false,"Indian, Asian, Korean, Thai, African, Mexican, Latin, Mediterranean, Vegan, Gluten Free, Low Carb, Kosher, Halal, Vegetarian"
catering-by-john-lowe,Catering by John Lowe,Multi-Cuisine,catering,,,,"vegetarian;vegan;gluten-free;halal;kosher","Small business. Level 3 sustainability. Extensive global cuisine menu.",,, false,3,true,true,false,false,false,"Indian, Asian, Korean, Thai, African, Mexican, Latin, Mediterranean, American, Vegan, Gluten Free, Low Carb, Kosher, Halal, Vegetarian"
chefs-market,Chefs Market Inc.,Multi-Cuisine,catering,,,,"vegetarian;vegan;gluten-free;halal;kosher;keto","Philadelphia and West Philly local. Level 4 sustainability. Extremely broad multi-cuisine offering.",https://www.cateringphiladelphia.com,, false,4,true,false,false,true,true,"African, American, Chinese, Comfort, French, Fusion, German, Gluten-Free, Greek, Halal, Indian, Italian, Japanese, Korean, Kosher, Latin, Local, Ketogenic, Mexican, Southern, Vegan, Vegetarian"
constellation-culinary,Constellation Culinary Group,Multi-Cuisine,catering,,,,"vegetarian;vegan;gluten-free;halal;kosher","Philadelphia local. Level 4 sustainability. Full-service multi-cuisine catering.",,, false,4,true,false,false,true,false,"Indian, Asian, Korean, Thai, African, Mexican, Latin, Mediterranean, American, Vegan, Gluten Free, Low Carb, Kosher Style, Halal, Vegetarian"
cosi-inc,Cosi Inc,American / Multi-Cuisine,catering,,,,"vegetarian;vegan;gluten-free","Philadelphia local. Level 3 sustainability. Sandwiches and multi-cuisine catering.",,, false,3,true,false,false,true,false,"Thai, Mexican, Greek, Italian, Polish, Vegan, Gluten Free, Low Carb, American, Vegetarian"
cousins-mike,Cousins Mike,Multi-Cuisine,catering,,,,"vegetarian;vegan;gluten-free;halal;kosher","Philadelphia local. Level 3 sustainability. Very broad multi-cuisine offering.",,, false,3,true,false,false,true,false,"American, Italian, Greek, Indian, African, Latin, Asian, French, Southern, Comfort, Chinese, German, Fusion, Local, Vegan, Vegetarian, Gluten-Free, Low Carb, Kosher, Halal, Mexican"
diantonios-catering,Diantonios Events and Catering,Italian / American,catering,,,,"vegetarian;vegan;gluten-free;halal;kosher","Small business. Philadelphia local. Level 3 sustainability. Italian and American specialties.",,, false,3,true,true,false,true,false,"Italian, American, Vegan, Gluten Free, Low Carb, Kosher, Halal, Vegetarian"
dres-water-ice,Dre's Water Ice and Ice-Cream,Desserts,snacks,,,,"vegan;gluten-free","Small business. Philadelphia and West Philly local. Level 4 sustainability. Great supplement for warm-weather events.",,, false,4,true,true,false,true,true,"American, Comfort, Vegan, Gluten-Free"
dump-n-roll,Dump N Roll,Multi-Cuisine,catering,,,,"vegetarian;vegan;gluten-free;halal","Small business. Philadelphia local. Level 4 sustainability. Eclectic fusion menu.",,, false,4,true,true,false,true,false,"American, Italian, Indian, Latin, Asian, French Comfort, Chinese, Fusion, Local, Vegan, Vegetarian, Gluten-Free, Halal"
joshuas-catering,Joshua's Catering,French / Italian,catering,,,,"vegetarian;vegan;gluten-free;halal;kosher","Small business. Philadelphia local. Level 3 sustainability. DBA of Dyl's Natural.",,, false,3,true,true,false,true,false,"French, Italian, Spanish, African, Vegan, Gluten Free, Low Carb, Kosher, Halal, Vegetarian"
pita-chip,Pita Chip,Middle Eastern / Mediterranean,catering,,,,"vegetarian;vegan;gluten-free;halal","Philadelphia local. Level 3 sustainability. DBA of Fala Filly Inc. Middle Eastern and Mediterranean cuisine.",,, false,3,true,false,false,true,false,"Middle Eastern, Mediterranean, Vegan, Gluten Free, Low Carb, Halal, Vegetarian"
farina-pasta,Farina Pasta and Noodle,Italian / Asian,catering,,,,"vegetarian;vegan;gluten-free","Small business. Philadelphia local. Level 2 sustainability. Handmade pasta and noodles.",,, false,2,true,true,false,true,false,"Italian, Asian, Chinese, French, Local, Vegan, Vegetarian, Gluten-Free"
feast-your-eyes,Feast Your Eyes Inc,Italian / Mediterranean,catering,,,,"vegetarian;vegan;gluten-free;halal;kosher","Small business. Philadelphia local. Level 4 sustainability. Italian and Mediterranean focus.",,, false,4,true,true,false,true,false,"Italian, Mediterranean, Spanish, Asian, Vegan, Gluten Free, Low Carb, Kosher, Halal, Vegetarian"
honey-hill-catering,Honey Hill Catering,Soul / Multi-Cuisine,catering,,,,"vegetarian;vegan;gluten-free;halal;kosher;pescatarian","Philadelphia and West Philly local. Level 3 sustainability. Soul food and broad multi-cuisine menu.",,, false,3,true,false,false,true,true,"Soul, Mexican, Italian, American/Traditional, Spanish, Jamaican, Pescatarian, Vegan, Gluten Free, Low Carb, Kosher, Halal, Vegetarian"
hummus-grill,Hummus Grill,Mediterranean / Middle Eastern,catering,,,,"vegetarian;vegan;gluten-free","Small business. Philadelphia and West Philly local. Level 2 sustainability. DBA of YAFL Inc. Mediterranean and Middle Eastern specialties.",,, false,2,true,true,false,true,true,"Mediterranean, Middle Eastern, Vegan, Gluten Free, Vegetarian"
jeffrey-miller-catering,Jeffrey A. Miller Catering Co.,American / New American,catering,,,,"vegetarian;vegan;gluten-free;halal;kosher","Small business. Level 4 sustainability. Upscale New American catering.",,, false,4,true,true,false,false,false,"Vegan, Gluten Free, Low Carb, Kosher, Halal, Vegetarian, New American"
jerrys-homemade,Jerry's Homemade,Multi-Cuisine,catering,,,,"vegetarian;vegan;gluten-free;halal","Level 3 sustainability. Broad multi-cuisine menu including comfort food and fusion.",,, false,3,true,false,false,false,false,"Mexican, American, Italian, Greek, Latin, Asian, Comfort, Chinese, Fusion, Local, Vegan, Vegetarian, Gluten-Free, Low Carb, Halal"
just-salad-upenn,Just Salad UPenn,Salads / Wraps,catering,,,,"vegetarian;vegan;gluten-free","Philadelphia and West Philly local. Level 3 sustainability. On-campus location at UPenn. Salads, sandwiches, wraps.",,, false,3,true,false,false,true,true,"Vegan, Gluten Free, Low Carb, Vegetarian, Salad, Sandwiches, Wraps"
pitruco-pizza,Pitruco's Pizza,Pizza,pizza,,,,"vegetarian","Philadelphia and West Philly local. Level 2 sustainability. DBA of Logan Street Brothers. Wood-fired pizza.",,, false,2,true,false,false,true,true,Pizza
luhv-vegan-deli,Luhv Vegan Deli,Vegan / Deli,catering,,,,"vegetarian;vegan;gluten-free;kosher","Philadelphia local. Level 3 sustainability. Fully vegan deli. Nut-free and soy-free options. NON-GMO.",,, false,3,true,false,false,true,false,"Gluten Free, Nut Free, Soy Free, NON-GMO, Deli, Vegan, Kosher, Vegetarian"
lulas-empanadas,Lula's Empanadas,Latin / Empanadas,catering,,,,"vegetarian;gluten-free","Small business. Philadelphia local. Level 2 sustainability. Latin empanadas.",,, false,2,true,true,false,true,false,"Latin, Vegetarian, Gluten-Free"
matt-and-maries,Matt and Marie's,Italian,catering,,,,"vegetarian;vegan;gluten-free;halal;kosher","Level 4 sustainability. Italian cuisine with broad dietary accommodations.",,, false,4,true,false,false,false,false,"Italian, Vegan, Gluten Free, Low Carb, Kosher, Halal, Vegetarian"
miles-table,Miles Table & Catering,American / Catering,catering,,,,"vegetarian;vegan;gluten-free;halal;kosher","Small business. Philadelphia local. Level 3 sustainability.",,, false,3,true,true,false,true,false,"Vegan, Gluten Free, Low Carb, Kosher, Halal, Vegetarian"
burrito-feliz,Burrito Feliz Philly,Mexican,catering,,,,"vegetarian;vegan","Small business. Philadelphia local. Level 4 sustainability. DBA of Nolasco Inc. Local sourcing.",,, false,4,true,true,false,true,false,"Mexican, Local, Vegetarian, Vegan"
on-point-bistro,On Point Bistro,Multi-Cuisine,catering,,,,"vegetarian;vegan;gluten-free","Philadelphia and West Philly local. Level 3 sustainability. Multi-cuisine bistro catering.",,, false,3,true,false,false,true,true,"Mexican, American, Italian, Greek, Comfort, Vegan, Vegetarian, Gluten-Free"
ovations-rhc,Ovations Food Services (RHC),Multi-Cuisine,catering,,,,"vegetarian;vegan;gluten-free;dairy-free","Philadelphia local. Level 3 sustainability. Customized menus available. Dairy-free options.",,, false,3,true,false,false,true,false,"Vegan, Gluten Free, Low Carb, Vegetarian, Dairy Free, Customized menus"
philly-catering-co,Philadelphia Catering Company,American / Italian,catering,,,,"vegetarian;vegan;gluten-free","Philadelphia local. Level 4 sustainability. New American and Italian cuisine.",,, false,4,true,false,false,true,false,"Vegan, Gluten Free, Low Carb, Vegetarian, Italian, New American"
renatas-kitchen,Renata's Kitchen,Mediterranean / Middle Eastern,catering,,,,"vegetarian;vegan;gluten-free;halal;kosher","Small business. Philadelphia and West Philly local. Level 3 sustainability. Mediterranean, Middle Eastern, and Israeli cuisine.",,, false,3,true,true,false,true,true,"Mediterranean, Middle Eastern, Israeli, Vegan, Gluten Free, Low Carb, Halal, Kosher, Vegetarian"
restaurant-associates,Restaurant Associates Inc.,Multi-Cuisine,catering,,,,"vegetarian;vegan;gluten-free;halal;kosher","Philadelphia and West Philly local. Level 4 sustainability. Full-service catering.",,, false,4,true,false,false,true,true,"Vegan, Vegetarian, Gluten-Free, Low Carb, Kosher, Halal"
root-and-sprig,Root and Sprig Philadelphia,American / Comfort,catering,,,,"vegetarian;vegan;gluten-free","Small business. Philadelphia and West Philly local. Level 3 sustainability. American comfort food.",,, false,3,true,true,false,true,true,"American, Comfort, Vegan, Vegetarian, Gluten-Free"
